,Country,Year,MRDT_Female,MRDT_Male,MRDT_Total
2726,HRV,2008,7.02627901503552,7.394870615979411,7.427980306353527
2727,HRV,2009,6.666036639628541,7.238925492909457,7.206629597538898
2728,HRV,2010,6.795858589441691,6.9677079489122695,7.026954872758774
2729,HRV,2011,7.018836027103254,7.038091119677884,7.151538428271795
2730,HRV,2012,6.789612922929569,7.204103639405228,7.212353732749859
2731,HRV,2013,7.198791020445864,6.929460328545598,7.1347736777452315
2732,HRV,2014,6.956692244177845,6.631399053893198,6.834929514865183
2733,HRV,2015,6.836704625928304,6.972443712441528,7.037185967041574
2734,HRV,2016,6.657242966375777,6.794566026118005,6.856005593612197
2735,HRV,2017,6.5500116078638095,6.625408987045225,6.701233924255029
2736,HRV,2018,6.4149447245098115,6.805158638926513,6.83526186831218
2737,HRV,2019,6.852462892311127,6.934946340108698,7.01106523289377
2738,HRV,2020,6.624711725194673,6.623777607053541,6.73761125546291
2739,HUN,1950,9.157519583363202,9.480539451089525,9.383803246027838
2740,HUN,1951,9.053202197544477,8.98408554445947,9.066180345191334
2741,HUN,1952,8.720058613954114,8.572450039649262,8.688596865138434
2742,HUN,1953,8.353464701438423,7.978009980086229,8.185289414038166
2743,HUN,1954,8.16020584336207,7.850720543726837,8.028250228219704
2744,HUN,1955,8.083216914435406,7.940321102385762,8.04568089464978
2745,HUN,1956,8.231380210380678,8.49810440991408,8.426864130055446
2746,HUN,1957,8.191512870801573,8.009447687760924,8.133191356970919
2747,HUN,1958,8.16084457656086,7.913559556847764,8.060357001693825
2748,HUN,1959,7.784143091614528,7.680058459951906,7.77637070510658
2749,HUN,1960,7.939954975130687,7.685684232925386,7.840754519070026
2750,HUN,1961,7.968042799167321,7.903820125670336,7.987243529300325
2751,HUN,1962,7.772268957893398,7.707176016985127,7.790765873370715
2752,HUN,1963,7.774331834674044,7.961549306676882,7.949916934339594
2753,HUN,1964,7.606605814712124,7.767501882756064,7.771535505232334
2754,HUN,1965,7.505850554908847,7.836176980756394,7.777827656942505
2755,HUN,1966,7.58567535902855,7.840133640661546,7.801472528162829
2756,HUN,1967,7.475292152588414,7.895702128056596,7.791723955291476
2757,HUN,1968,7.434134992257692,7.994635281344132,7.838351635874696
2758,HUN,1969,7.507373789417449,7.852454396037267,7.778986827859936
2759,HUN,1970,7.44955749632997,7.891045821865177,7.790332069080813
2760,HUN,1971,7.49450371188464,8.041618848713128,7.912501866544319
2761,HUN,1972,7.639321072791795,8.189873120934521,8.059544955903638
2762,HUN,1973,7.515092123983469,8.077865908936946,7.943705172609719
2763,HUN,1974,7.788687927432935,8.165880008924683,8.121508473012026
2764,HUN,1975,7.54069866229716,8.215359227407163,8.06731855632447
