Australia, Exposure to risk (period 1x10), 	Last modified: 29 Nov 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1930-1939       25            552884.91       583050.32      1135935.23
1930-1939       26            538583.13       572702.65      1111285.78
1930-1939       27            525847.78       562570.62      1088418.40
1930-1939       28            515513.68       553392.18      1068905.86
1930-1939       29            506954.39       544590.07      1051544.46
1930-1939       30            499552.09       535566.67      1035118.75
1930-1939       31            492453.33       525494.80      1017948.14
1930-1939       32            485548.50       515270.90      1000819.40
1930-1939       33            480338.13       504993.53       985331.66
1930-1939       34            477082.61       495264.78       972347.38
1930-1939       35            474774.96       486776.03       961550.99
1930-1939       36            473569.15       480339.98       953909.13
1930-1939       37            473145.33       475661.38       948806.71
1930-1939       38            471524.99       471236.92       942761.91
1930-1939       39            468183.20       466488.81       934672.01
1930-1939       40            464507.40       462052.72       926560.12
1930-1939       41            461055.10       459297.60       920352.70
1930-1939       42            457162.55       456750.74       913913.28
1930-1939       43            450820.50       453254.08       904074.58
1930-1939       44            443800.80       448934.97       892735.76
1930-1939       45            434832.78       442887.80       877720.58
1930-1939       46            423718.02       435099.58       858817.60
1930-1939       47            411199.51       424758.84       835958.35
1930-1939       48            397924.99       413336.55       811261.53
1930-1939       49            384623.54       401063.00       785686.54
1930-1939       50            371124.30       387569.45       758693.75
1930-1939       51            356828.24       373073.18       729901.42
1930-1939       52            342329.22       358049.20       700378.43
1930-1939       53            327851.30       342647.32       670498.62
1930-1939       54            314174.38       327870.28       642044.67
1930-1939       55            301517.94       313192.17       614710.11
1930-1939       56            289786.78       299236.67       589023.46
1930-1939       57            279059.19       286431.20       565490.39
1930-1939       58            268708.50       274228.00       542936.49
1930-1939       59            258132.08       262474.50       520606.58
1930-1939       60            247899.27       251417.61       499316.88
1930-1939       61            238892.84       241312.53       480205.37
1930-1939       62            230365.06       232258.27       462623.33
1930-1939       63            221716.62       223031.56       444748.18
1930-1939       64            212864.06       214377.10       427241.16
1930-1939       65            204231.81       205471.34       409703.15
1930-1939       66            195084.32       196624.63       391708.94
1930-1939       67            186033.45       188222.21       374255.66
1930-1939       68            176409.62       178377.58       354787.20
1930-1939       69            166234.79       168429.19       334663.98
1930-1939       70            155804.43       157747.66       313552.09
1930-1939       71            145333.44       146776.97       292110.41
1930-1939       72            134452.81       135598.60       270051.41
1930-1939       73            123699.20       123621.89       247321.09
1930-1939       74            112801.80       111849.55       224651.35
1930-1939       75            101168.97        99393.14       200562.10
1930-1939       76             89417.74        87065.15       176482.89
1930-1939       77             78718.05        75118.75       153836.80
1930-1939       78             68389.07        64214.26       132603.33
1930-1939       79             58612.86        54064.55       112677.41
1930-1939       80             52753.71        48162.06       100915.77
1930-1939       81             44861.81        40192.87        85054.68
1930-1939       82             37857.65        33129.02        70986.67
1930-1939       83             31353.44        26531.71        57885.15
1930-1939       84             25626.43        20841.25        46467.67
1930-1939       85             20758.81        16261.50        37020.31
1930-1939       86             16702.25        12733.74        29435.98
1930-1939       87             13316.31         9861.85        23178.15
1930-1939       88             10555.23         7542.78        18098.01
1930-1939       89              8217.12         5685.68        13902.81
1930-1939       90              6233.57         4219.95        10453.52
1930-1939       91              4686.13         3127.63         7813.76
1930-1939       92              3489.25         2326.62         5815.87
1930-1939       93              2528.32         1704.14         4232.46
1930-1939       94              1813.15         1222.61         3035.75
1930-1939       95              1273.64          851.53         2125.17
1930-1939       96               864.81          576.19         1441.01
1930-1939       97               560.19          384.67          944.85
1930-1939       98               342.47          249.03          591.50
1930-1939       99               201.36          157.03          358.38
1930-1939      100               114.56          103.40          217.95
1930-1939      101                70.12           73.99          144.10
1930-1939      102                48.90           56.53          105.43
1930-1939      103                30.30           39.89           70.19
1930-1939      104                15.58           26.43           42.02
1930-1939      105                 7.67           14.96           22.63
1930-1939      106                 3.18            7.36           10.53
1930-1939      107                 1.77            4.74            6.51
1930-1939      108                 1.48            3.72            5.20
