The United States of America, Exposure to risk (period 1x10), 	Last modified: 15 Mar 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1933-1939       47           5307480.39      5661712.53     10969192.91
1933-1939       48           5144179.75      5515461.73     10659641.48
1933-1939       49           4981823.94      5362102.10     10343926.04
1933-1939       50           4819107.27      5200023.89     10019131.17
1933-1939       51           4655291.53      5029498.98      9684790.50
1933-1939       52           4490542.12      4851803.13      9342345.25
1933-1939       53           4327252.01      4671358.04      8998610.05
1933-1939       54           4168307.05      4492601.83      8660908.88
1933-1939       55           4015278.85      4317502.48      8332781.33
1933-1939       56           3867614.85      4145789.58      8013404.43
1933-1939       57           3723957.31      3976360.40      7700317.71
1933-1939       58           3581587.15      3807156.57      7388743.72
1933-1939       59           3438557.75      3636968.88      7075526.62
1933-1939       60           3296087.47      3468256.16      6764343.62
1933-1939       61           3155763.99      3303417.05      6459181.04
1933-1939       62           3018769.89      3144385.16      6163155.04
1933-1939       63           2884182.85      2990136.24      5874319.08
1933-1939       64           2750264.02      2838530.07      5588794.09
1933-1939       65           2614132.39      2686595.91      5300728.30
1933-1939       66           2473084.09      2531289.67      5004373.76
1933-1939       67           2326375.84      2371378.00      4697753.84
1933-1939       68           2176577.49      2208504.01      4385081.50
1933-1939       69           2026089.42      2045292.74      4071382.16
1933-1939       70           1877414.93      1883781.41      3761196.34
1933-1939       71           1733745.78      1727449.21      3461194.99
1933-1939       72           1596150.56      1577941.11      3174091.67
1933-1939       73           1465058.91      1436305.44      2901364.35
1933-1939       74           1340957.04      1303300.64      2644257.68
1933-1939       75           1246918.64      1199321.46      2446240.09
1933-1939       76           1131114.72      1076697.76      2207812.48
1933-1939       77           1015529.82       955729.25      1971259.07
1933-1939       78            900428.21       837024.52      1737452.72
1933-1939       79            788266.38       722904.76      1511171.15
1933-1939       80            710942.18       625685.39      1336627.56
1933-1939       81            609164.41       527048.02      1136212.43
1933-1939       82            516657.68       438576.90       955234.58
1933-1939       83            433573.20       360463.20       794036.40
1933-1939       84            360054.87       292643.30       652698.17
1933-1939       85            295830.22       234604.35       530434.56
1933-1939       86            240567.48       185961.91       426529.39
1933-1939       87            193221.48       145485.18       338706.66
1933-1939       88            153041.38       112159.56       265200.94
1933-1939       89            119370.58        85066.02       204436.60
1933-1939       90             91584.60        63398.94       154983.54
1933-1939       91             69424.93        46679.56       116104.49
1933-1939       92             52038.08        34035.78        86073.87
1933-1939       93             38648.20        24702.52        63350.71
1933-1939       94             28506.60        17899.51        46406.10
1933-1939       95             20859.82        12877.64        33737.46
1933-1939       96             15235.09         9212.56        24447.65
1933-1939       97             11166.59         6578.70        17745.29
1933-1939       98              8263.74         4752.84        13016.58
1933-1939       99              6162.08         3480.82         9642.91
1933-1939      100              4406.20         2437.08         6843.27
1933-1939      101              3009.42         1621.17         4630.59
1933-1939      102              2025.73         1066.13         3091.85
1933-1939      103              1348.12          694.52         2042.64
1933-1939      104               888.75          448.04         1336.79
1933-1939      105               577.07          284.23          861.30
1933-1939      106               366.63          176.42          543.05
1933-1939      107               228.08          107.58          335.66
1933-1939      108               139.75           63.61          203.36
1933-1939      109                84.38           35.28          119.66
1933-1939      110+              103.06           31.63          134.68
1940-1949        0          12924098.68     13543279.43     26467378.11
1940-1949        1          12658410.00     13158572.61     25816982.61
1940-1949        2          12980843.98     13389821.42     26370665.40
1940-1949        3          12447107.08     12821490.71     25268597.79
1940-1949        4          12082391.24     12498230.05     24580621.28
1940-1949        5          11605930.79     11988441.85     23594372.64
1940-1949        6          11251202.17     11603544.28     22854746.45
1940-1949        7          10871093.66     11194086.85     22065180.51
1940-1949        8          10623394.77     10917945.41     21541340.18
1940-1949        9          10481711.75     10776882.66     21258594.41
1940-1949       10          10680322.67     11073719.76     21754042.43
1940-1949       11          10741050.69     11144828.90     21885879.59
1940-1949       12          10857541.58     11257066.14     22114607.72
1940-1949       13          11033615.16     11419587.32     22453202.48
1940-1949       14          11238541.16     11588836.00     22827377.15
1940-1949       15          11410645.54     11632985.34     23043630.87
1940-1949       16          11559598.35     11699208.80     23258807.15
1940-1949       17          11693543.26     11754041.46     23447584.73
1940-1949       18          11789357.29     10376669.74     22166027.03
1940-1949       19          11833100.01     10126440.51     21959540.51
1940-1949       20          11814581.80     10115944.21     21930526.01
1940-1949       21          11885582.63     10219931.34     22105513.97
1940-1949       22          11932098.54     10320111.11     22252209.65
1940-1949       23          11967630.10     10428620.05     22396250.15
1940-1949       24          11990836.09     10541379.51     22532215.60
1940-1949       25          12067922.51     10674910.59     22742833.10
1940-1949       26          11999899.51     10689459.40     22689358.91
1940-1949       27          11888471.06     10658237.27     22546708.33
1940-1949       28          11740039.86     10587409.70     22327449.56
1940-1949       29          11580014.97     10504123.04     22084138.01
1940-1949       30          11326949.70     10358179.57     21685129.27
1940-1949       31          11156674.38     10278402.06     21435076.44
1940-1949       32          11006094.70     10206181.22     21212275.92
1940-1949       33          10871516.05     10139735.95     21011252.00
1940-1949       34          10738615.98     10062145.80     20800761.78
1940-1949       35          10677806.77     10021668.67     20699475.45
1940-1949       36          10559861.08      9968633.87     20528494.95
1940-1949       37          10417955.48      9898156.00     20316111.48
1940-1949       38          10261185.00      9818434.32     20079619.33
1940-1949       39          10094812.90      9732859.04     19827671.93
1940-1949       40           9866345.15      9619261.89     19485607.04
1940-1949       41           9637965.52      9487517.15     19125482.67
1940-1949       42           9427968.26      9353281.18     18781249.44
1940-1949       43           9236895.56      9220408.30     18457303.86
1940-1949       44           9065418.29      9092223.63     18157641.92
1940-1949       45           8939552.14      8985849.38     17925401.51
1940-1949       46           8796875.20      8866236.77     17663111.96
1940-1949       47           8655798.56      8753962.76     17409761.32
1940-1949       48           8505706.40      8639197.45     17144903.84
1940-1949       49           8337730.79      8512493.61     16850224.40
1940-1949       50           8107509.62      8331302.85     16438812.47
1940-1949       51           7873703.21      8121219.36     15994922.57
1940-1949       52           7632697.67      7897708.96     15530406.63
1940-1949       53           7386258.28      7658117.41     15044375.68
1940-1949       54           7135766.95      7402939.23     14538706.18
1940-1949       55           6890843.62      7123745.06     14014588.68
1940-1949       56           6646489.93      6868170.46     13514660.39
1940-1949       57           6395114.09      6602892.47     12998006.56
1940-1949       58           6142384.56      6333587.19     12475971.75
1940-1949       59           5890247.51      6061725.77     11951973.28
1940-1949       60           5678399.34      5837751.33     11516150.67
1940-1949       61           5511601.59      5633966.82     11145568.41
1940-1949       62           5346866.74      5423742.22     10770608.96
1940-1949       63           5180284.94      5207872.05     10388156.99
1940-1949       64           5010154.91      4988247.85      9998402.76
1940-1949       65           4832770.02      4758751.61      9591521.63
1940-1949       66           4606575.16      4499699.50      9106274.66
1940-1949       67           4372002.51      4241187.76      8613190.27
1940-1949       68           4130110.32      3982377.56      8112487.88
1940-1949       69           3885555.39      3726737.02      7612292.41
1940-1949       70           3599126.56      3445750.42      7044876.99
1940-1949       71           3304863.68      3152082.85      6456946.53
1940-1949       72           3024094.06      2870216.47      5894310.53
1940-1949       73           2755626.96      2599207.42      5354834.38
1940-1949       74           2495800.57      2336411.60      4832212.17
1940-1949       75           2260427.48      2084869.09      4345296.57
1940-1949       76           2056715.98      1869485.62      3926201.60
1940-1949       77           1857525.27      1663193.86      3520719.13
1940-1949       78           1664171.18      1467411.13      3131582.31
1940-1949       79           1477059.88      1282683.26      2759743.14
1940-1949       80           1363433.48      1128309.01      2491742.48
1940-1949       81           1184969.59       964852.62      2149822.21
1940-1949       82           1019210.79       815877.00      1835087.78
1940-1949       83            865750.37       680324.80      1546075.17
1940-1949       84            726451.91       559423.10      1285875.00
1940-1949       85            602472.56       454018.53      1056491.09
1940-1949       86            493527.75       363641.52       857169.26
1940-1949       87            397451.00       285774.90       683225.90
1940-1949       88            313154.30       219337.88       532492.18
1940-1949       89            241040.02       164222.86       405262.88
1940-1949       90            182040.15       120411.14       302451.29
1940-1949       91            136148.40        87416.14       223564.54
1940-1949       92            100776.22        62980.82       163757.04
1940-1949       93             73709.49        45148.38       118857.87
1940-1949       94             53359.81        32290.43        85650.24
1940-1949       95             38291.97        22945.76        61237.73
1940-1949       96             27435.55        16266.57        43702.11
1940-1949       97             19704.89        11559.62        31264.51
1940-1949       98             14278.77         8299.75        22578.52
1940-1949       99             10366.19         5966.55        16332.74
1940-1949      100              7170.39         4096.20        11266.59
1940-1949      101              4768.27         2706.87         7475.14
1940-1949      102              3156.19         1778.83         4935.02
1940-1949      103              2070.89         1160.38         3231.27
1940-1949      104              1343.69          748.86         2092.54
1940-1949      105               863.36          479.52         1342.88
1940-1949      106               552.02          305.24          857.25
1940-1949      107               355.63          192.90          548.53
1940-1949      108               232.55          121.98          354.53
1940-1949      109               153.28           77.14          230.42
1940-1949      110+              338.98          142.66          481.64
1950-1959        0          18117181.88     18778848.48     36896030.36
1950-1959        1          18034820.81     18758709.75     36793530.56
1950-1959        2          18169348.08     18785945.81     36955293.89
1950-1959        3          18050556.26     18651684.66     36702240.92
1950-1959        4          17459941.46     18166940.61     35626882.07
1950-1959        5          16796389.94     17405370.19     34201760.13
1950-1959        6          16252764.10     16820888.56     33073652.66
1950-1959        7          15897758.34     16527250.38     32425008.73
1950-1959        8          15270471.73     15821816.42     31092288.14
1950-1959        9          14708877.48     15257100.23     29965977.71
1950-1959       10          14328911.11     14894848.93     29223760.04
1950-1959       11          13775552.16     14303295.60     28078847.76
1950-1959       12          13191476.35     13684221.44     26875697.79
1950-1959       13          12434760.01     12858409.24     25293169.24
1950-1959       14          12234375.18     12625080.00     24859455.18
1950-1959       15          11787893.19     12017441.22     23805334.41
1950-1959       16          11414288.60     11612857.80     23027146.40
1950-1959       17          11092140.64     11264521.44     22356662.08
1950-1959       18          10898053.94     10488349.47     21386403.41
1950-1959       19          10703166.14     10150366.91     20853533.05
1950-1959       20          10737837.40      9857984.16     20595821.55
1950-1959       21          10874483.11      9797177.44     20671660.55
1950-1959       22          10881427.00      9713426.64     20594853.64
1950-1959       23          11180709.67     10154793.71     21335503.37
1950-1959       24          11327459.35     10445366.35     21772825.70
1950-1959       25          11397854.51     10723473.58     22121328.10
1950-1959       26          11844093.01     11327085.57     23171178.59
1950-1959       27          12199626.52     11770059.73     23969686.26
1950-1959       28          12007082.47     11475950.11     23483032.58
1950-1959       29          12136156.16     11529632.46     23665788.62
1950-1959       30          12329702.92     11719618.38     24049321.30
1950-1959       31          12380111.53     11834432.38     24214543.91
1950-1959       32          12194890.54     11571383.00     23766273.54
1950-1959       33          12352687.45     11733849.53     24086536.98
1950-1959       34          12400302.73     11815554.84     24215857.57
1950-1959       35          12228194.75     11650634.77     23878829.52
1950-1959       36          12219825.03     11657910.47     23877735.50
1950-1959       37          12199120.46     11682680.73     23881801.19
1950-1959       38          11876013.58     11368290.03     23244303.61
1950-1959       39          11633927.32     11197102.35     22831029.67
1950-1959       40          11443279.72     11037455.77     22480735.49
1950-1959       41          11261328.63     10939468.11     22200796.74
1950-1959       42          11010954.44     10704388.26     21715342.70
1950-1959       43          10858399.81     10572173.49     21430573.30
1950-1959       44          10709346.13     10448730.08     21158076.21
1950-1959       45          10541272.51     10285539.08     20826811.59
1950-1959       46          10277874.09     10043676.43     20321550.52
1950-1959       47          10071792.53      9860016.80     19931809.33
1950-1959       48           9936142.81      9762208.91     19698351.72
1950-1959       49           9549488.65      9396770.72     18946259.37
1950-1959       50           9264841.78      9115018.26     18379860.04
1950-1959       51           9060327.59      8911732.36     17972059.95
1950-1959       52           8838750.06      8704587.03     17543337.09
1950-1959       53           8548461.40      8424201.75     16972663.15
1950-1959       54           8307132.59      8184349.28     16491481.87
1950-1959       55           8163691.21      8021743.65     16185434.86
1950-1959       56           7962657.49      7804052.25     15766709.74
1950-1959       57           7798065.85      7619229.94     15417295.78
1950-1959       58           7743462.71      7552412.10     15295874.81
1950-1959       59           7531615.57      7309509.02     14841124.59
1950-1959       60           7218951.81      6972389.09     14191340.90
1950-1959       61           7013039.68      6745099.96     13758139.63
1950-1959       62           6856103.35      6557527.70     13413631.04
1950-1959       63           6652801.67      6312262.49     12965064.17
1950-1959       64           6436325.32      6058410.74     12494736.06
1950-1959       65           6263959.10      5843660.64     12107619.74
1950-1959       66           6095340.39      5620661.12     11716001.51
1950-1959       67           5894002.41      5385200.99     11279203.40
1950-1959       68           5619222.12      5093102.70     10712324.81
1950-1959       69           5367951.35      4843967.57     10211918.92
1950-1959       70           4997888.01      4472193.88      9470081.89
1950-1959       71           4622328.08      4103988.99      8726317.07
1950-1959       72           4257883.41      3755858.89      8013742.30
1950-1959       73           3958241.23      3460458.75      7418699.98
1950-1959       74           3613001.57      3125750.40      6738751.98
1950-1959       75           3310741.45      2838120.22      6148861.68
1950-1959       76           3015174.40      2557535.37      5572709.77
1950-1959       77           2745186.96      2307235.00      5052421.96
1950-1959       78           2483249.81      2053013.31      4536263.12
1950-1959       79           2238274.04      1815732.69      4054006.73
1950-1959       80           2055772.91      1565822.51      3621595.42
1950-1959       81           1815800.42      1358634.61      3174435.02
1950-1959       82           1587292.95      1164709.11      2752002.06
1950-1959       83           1367487.92       983147.08      2350635.00
1950-1959       84           1157366.80       815672.35      1973039.15
1950-1959       85            963097.32       665003.67      1628100.99
1950-1959       86            791343.05       534468.07      1325811.11
1950-1959       87            641088.59       421967.59      1063056.18
1950-1959       88            514156.34       329297.76       843454.10
1950-1959       89            407040.68       253726.92       660767.61
1950-1959       90            314354.16       190949.94       505304.10
1950-1959       91            239143.44       141603.97       380747.41
1950-1959       92            179626.55       103312.67       282939.21
1950-1959       93            131584.18        73449.29       205033.47
1950-1959       94             94461.29        51244.37       145705.67
1950-1959       95             66515.16        35238.33       101753.48
1950-1959       96             46116.66        23876.27        69992.93
1950-1959       97             31392.03        15837.19        47229.22
1950-1959       98             20989.64        10407.78        31397.42
1950-1959       99             14063.73         6947.91        21011.64
1950-1959      100              9380.14         4632.76        14012.90
1950-1959      101              6282.52         3133.32         9415.84
1950-1959      102              4337.54         2223.35         6560.89
1950-1959      103              3042.53         1577.22         4619.75
1950-1959      104              2177.82         1148.18         3325.99
1950-1959      105              1552.28          849.91         2402.19
1950-1959      106              1136.30          627.02         1763.32
1950-1959      107               868.25          474.51         1342.76
1950-1959      108               675.52          368.69         1044.21
1950-1959      109               518.98          296.29          815.27
1950-1959      110+             1595.71         1005.49         2601.20
1960-1969        0          18645480.19     19355442.45     38000922.63
1960-1969        1          18876102.14     19545499.83     38421601.97
1960-1969        2          18964969.01     19656311.92     38621280.93
1960-1969        3          19368400.92     20037043.42     39405444.34
1960-1969        4          19808867.82     20537241.59     40346109.42
1960-1969        5          19904928.22     20642843.44     40547771.65
1960-1969        6          19875080.01     20526569.92     40401649.93
1960-1969        7          19866993.65     20556595.79     40423589.44
1960-1969        8          19331115.83     20038599.21     39369715.04
1960-1969        9          19194345.07     19922527.55     39116872.63
1960-1969       10          19350531.22     20082482.07     39433013.29
1960-1969       11          18733142.60     19420729.80     38153872.40
1960-1969       12          18484699.86     19173302.31     37658002.17
1960-1969       13          18116638.47     18715622.09     36832260.56
1960-1969       14          17957588.87     18555711.95     36513300.83
1960-1969       15          17192406.27     17813310.12     35005716.40
1960-1969       16          16466096.56     17015284.37     33481380.93
1960-1969       17          16163192.07     16566826.45     32730018.52
1960-1969       18          15810439.23     15837251.13     31647690.36
1960-1969       19          15119548.64     14670307.95     29789856.60
1960-1969       20          14825950.70     14001228.87     28827179.56
1960-1969       21          14064428.61     13208275.79     27272704.40
1960-1969       22          13435621.88     12664824.47     26100446.35
1960-1969       23          12717813.29     11976143.28     24693956.57
1960-1969       24          12632810.45     11954896.24     24587706.69
1960-1969       25          12270080.11     11728597.02     23998677.13
1960-1969       26          11881202.04     11411171.07     23292373.11
1960-1969       27          11627753.71     11162929.84     22790683.55
1960-1969       28          11443815.09     11004415.15     22448230.24
1960-1969       29          11317872.16     10908678.26     22226550.42
1960-1969       30          11593260.01     11198220.41     22791480.43
1960-1969       31          11323038.20     10937350.68     22260388.88
1960-1969       32          11421773.94     11005355.45     22427129.38
1960-1969       33          11500078.30     11061746.13     22561824.43
1960-1969       34          11782938.70     11297818.39     23080757.10
1960-1969       35          11919850.06     11397913.52     23317763.58
1960-1969       36          12117644.76     11540429.66     23658074.42
1960-1969       37          12306130.50     11684230.44     23990360.94
1960-1969       38          12430817.17     11783962.36     24214779.53
1960-1969       39          12523300.60     11867254.43     24390555.03
1960-1969       40          12583369.49     11924194.09     24507563.57
1960-1969       41          12569802.58     11912847.41     24482649.99
1960-1969       42          12501944.06     11846694.46     24348638.52
1960-1969       43          12389688.95     11742207.92     24131896.87
1960-1969       44          12253921.71     11619610.47     23873532.18
1960-1969       45          12091589.59     11483670.37     23575259.96
1960-1969       46          11899972.08     11308048.06     23208020.14
1960-1969       47          11682337.55     11111791.53     22794129.08
1960-1969       48          11455592.62     10910455.14     22366047.76
1960-1969       49          11219665.42     10698673.11     21918338.52
1960-1969       50          11006342.73     10498798.19     21505140.92
1960-1969       51          10771615.76     10270349.62     21041965.38
1960-1969       52          10578967.00     10077163.23     20656130.23
1960-1969       53          10431545.97      9916663.38     20348209.34
1960-1969       54          10291297.19      9754673.55     20045970.73
1960-1969       55          10129230.45      9562722.96     19691953.42
1960-1969       56           9940727.96      9345009.51     19285737.47
1960-1969       57           9690741.01      9059568.79     18750309.80
1960-1969       58           9364083.75      8704098.13     18068181.88
1960-1969       59           8992922.90      8299917.86     17292840.77
1960-1969       60           8646080.89      7918985.44     16565066.33
1960-1969       61           8279863.72      7520239.34     15800103.06
1960-1969       62           7980612.06      7174108.15     15154720.21
1960-1969       63           7762460.71      6887734.35     14650195.06
1960-1969       64           7610332.14      6652449.87     14262782.00
1960-1969       65           7464434.28      6430000.97     13894435.24
1960-1969       66           7326810.81      6207808.53     13534619.33
1960-1969       67           7168378.98      5985674.10     13154053.08
1960-1969       68           6953837.78      5739074.08     12692911.86
1960-1969       69           6721373.93      5488960.26     12210334.19
1960-1969       70           6453603.48      5214929.06     11668532.53
1960-1969       71           6158136.31      4926718.43     11084854.74
1960-1969       72           5835294.40      4624552.81     10459847.20
1960-1969       73           5485262.15      4304803.34      9790065.49
1960-1969       74           5113682.74      3967284.09      9080966.83
1960-1969       75           4735486.81      3628472.08      8363958.89
1960-1969       76           4346107.07      3289727.96      7635835.03
1960-1969       77           3964887.03      2959358.33      6924245.36
1960-1969       78           3586843.88      2634579.09      6221422.96
1960-1969       79           3229277.28      2327977.98      5557255.26
1960-1969       80           2979516.27      2039085.96      5018602.23
1960-1969       81           2635969.99      1765698.56      4401668.55
1960-1969       82           2318404.24      1518537.66      3836941.90
1960-1969       83           2021385.79      1293620.39      3315006.18
1960-1969       84           1740178.66      1086534.85      2826713.51
1960-1969       85           1475796.69       897710.49      2373507.17
1960-1969       86           1232395.24       729870.02      1962265.27
1960-1969       87           1015258.41       585571.37      1600829.78
1960-1969       88            824295.54       463221.85      1287517.39
1960-1969       89            658817.65       360355.17      1019172.82
1960-1969       90            517231.90       275478.77       792710.67
1960-1969       91            399801.29       207386.66       607187.95
1960-1969       92            303833.53       153269.20       457102.73
1960-1969       93            224854.09       110241.29       335095.38
1960-1969       94            162176.31        77520.26       239696.57
1960-1969       95            114055.20        53471.67       167526.86
1960-1969       96             78898.14        36209.90       115108.04
1960-1969       97             53441.54        23988.70        77430.24
1960-1969       98             35556.58        15613.14        51169.72
1960-1969       99             23577.40        10142.33        33719.73
1960-1969      100             15329.12         6508.75        21837.86
1960-1969      101              9871.22         4178.78        14049.99
1960-1969      102              6368.24         2750.77         9119.00
1960-1969      103              4105.12         1856.05         5961.17
1960-1969      104              2698.38         1302.46         4000.83
1960-1969      105              1770.29          898.32         2668.61
1960-1969      106              1190.06          623.26         1813.32
1960-1969      107               844.24          456.73         1300.97
1960-1969      108               607.55          336.32          943.87
1960-1969      109               450.77          253.43          704.20
1960-1969      110+             1517.34          902.69         2420.03
1970-1979        0          16112971.10     16877228.46     32990199.56
1970-1979        1          15813338.00     16509184.27     32322522.27
1970-1979        2          15727246.45     16431043.36     32158289.81
1970-1979        3          16081730.64     16765945.24     32847675.88
1970-1979        4          16574301.99     17271217.33     33845519.31
1970-1979        5          16864661.21     17581668.08     34446329.29
1970-1979        6          17371011.52     18045245.25     35416256.77
1970-1979        7          17990502.55     18741807.52     36732310.07
1970-1979        8          17951232.51     18703581.20     36654813.71
1970-1979        9          18663412.39     19418889.25     38082301.64
1970-1979       10          19480599.58     20323714.93     39804314.51
1970-1979       11          19378554.59     20179568.99     39558123.58
1970-1979       12          19716546.64     20528546.12     40245092.76
1970-1979       13          20100072.84     20903768.30     41003841.14
1970-1979       14          20560827.25     21361731.00     41922558.26
1970-1979       15          20644179.77     21503191.71     42147371.48
1970-1979       16          20537056.63     21299702.25     41836758.88
1970-1979       17          20433290.85     21141526.65     41574817.50
1970-1979       18          20258134.99     20635220.97     40893355.96
1970-1979       19          20514204.04     20612230.20     41126434.24
1970-1979       20          20230833.43     20155079.02     40385912.45
1970-1979       21          19401861.50     19198378.40     38600239.90
1970-1979       22          18987246.45     18678445.66     37665692.11
1970-1979       23          18687959.03     18318851.13     37006810.16
1970-1979       24          18484633.74     18163196.96     36647830.70
1970-1979       25          17786475.56     17541069.02     35327544.59
1970-1979       26          17062433.88     16818804.38     33881238.26
1970-1979       27          16840103.91     16519246.29     33359350.20
1970-1979       28          16015765.19     15663130.78     31678895.97
1970-1979       29          16022013.65     15662291.76     31684305.40
1970-1979       30          15784323.24     15477523.51     31261846.74
1970-1979       31          14589359.54     14248383.01     28837742.55
1970-1979       32          14067480.55     13639593.63     27707074.18
1970-1979       33          13237374.76     12734805.13     25972179.89
1970-1979       34          13262502.63     12733244.43     25995747.06
1970-1979       35          12784749.78     12303412.65     25088162.43
1970-1979       36          12325284.91     11799917.74     24125202.65
1970-1979       37          11990537.12     11423573.65     23414110.77
1970-1979       38          11657949.11     11108166.81     22766115.92
1970-1979       39          11757435.89     11220441.37     22977877.26
1970-1979       40          11838708.53     11333636.98     23172345.51
1970-1979       41          11648319.81     11152637.46     22800957.27
1970-1979       42          11692610.11     11190184.66     22882794.77
1970-1979       43          11682129.55     11168629.83     22850759.38
1970-1979       44          11827518.41     11272704.03     23100222.44
1970-1979       45          11904156.95     11258923.53     23163080.47
1970-1979       46          11995224.20     11326689.09     23321913.29
1970-1979       47          12110632.81     11396889.50     23507522.32
1970-1979       48          12158232.59     11342760.69     23500993.28
1970-1979       49          12455868.08     11567162.50     24023030.57
1970-1979       50          12212923.09     11343194.83     23556117.92
1970-1979       51          12403302.62     11470109.08     23873411.70
1970-1979       52          12301474.31     11323402.76     23624877.06
1970-1979       53          12166409.30     11189692.74     23356102.04
1970-1979       54          11923890.41     10943120.55     22867010.97
1970-1979       55          11654003.95     10657136.73     22311140.68
1970-1979       56          11437665.54     10416582.65     21854248.19
1970-1979       57          11192709.61     10148005.96     21340715.57
1970-1979       58          10928763.82      9796115.05     20724878.87
1970-1979       59          10763058.63      9584594.96     20347653.59
1970-1979       60          10146249.15      8987876.79     19134125.94
1970-1979       61          10159397.22      8987081.28     19146478.50
1970-1979       62          10025304.43      8720607.55     18745911.98
1970-1979       63           9857306.49      8469311.80     18326618.29
1970-1979       64           9683576.32      8146630.40     17830206.71
1970-1979       65           9476338.25      7814472.38     17290810.63
1970-1979       66           9228164.01      7445215.68     16673379.69
1970-1979       67           8868089.27      7068953.79     15937043.06
1970-1979       68           8511286.82      6661971.09     15173257.91
1970-1979       69           8075866.93      6240718.19     14316585.12
1970-1979       70           7393632.47      5574843.02     12968475.49
1970-1979       71           7214161.42      5397420.54     12611581.95
1970-1979       72           6761417.63      4924068.35     11685485.98
1970-1979       73           6460210.47      4622780.60     11082991.07
1970-1979       74           6095493.01      4236997.68     10332490.69
1970-1979       75           5735100.62      3880210.71      9615311.32
1970-1979       76           5473643.12      3601414.37      9075057.49
1970-1979       77           5162979.83      3304388.78      8467368.61
1970-1979       78           4922807.07      3113610.62      8036417.68
1970-1979       79           4464846.68      2756895.56      7221742.24
1970-1979       80           4053908.00      2394738.63      6448646.63
1970-1979       81           3711519.24      2136822.01      5848341.25
1970-1979       82           3353007.51      1881489.08      5234496.59
1970-1979       83           2985529.08      1629954.47      4615483.55
1970-1979       84           2619646.90      1391729.51      4011376.40
1970-1979       85           2270800.47      1173787.07      3444587.54
1970-1979       86           1941791.13       975760.37      2917551.50
1970-1979       87           1632094.27       796554.22      2428648.49
1970-1979       88           1350946.80       640622.68      1991569.48
1970-1979       89           1101341.05       507643.23      1608984.27
1970-1979       90            877460.61       393150.90      1270611.50
1970-1979       91            683868.43       297309.10       981177.52
1970-1979       92            525322.76       221286.86       746609.61
1970-1979       93            396616.87       161665.58       558282.45
1970-1979       94            292682.96       115300.64       407983.61
1970-1979       95            210661.08        80346.04       291007.12
1970-1979       96            147873.33        54585.36       202458.69
1970-1979       97            101506.12        36441.83       137947.94
1970-1979       98             68281.10        23986.23        92267.32
1970-1979       99             45177.62        15591.46        60769.08
1970-1979      100             29558.22        10036.58        39594.79
1970-1979      101             19154.86         6473.13        25627.98
1970-1979      102             12346.19         4205.14        16551.34
1970-1979      103              7914.89         2794.97        10709.86
1970-1979      104              4999.18         1877.51         6876.69
