Australia,  Exposures (Lexis triangle)	Last modified: 29 Nov 2022;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1921   65      1856     6632.00     7577.59    14209.59
 1921   65      1855     6061.16     7098.90    13160.06
 1921   66      1855     5950.73     6915.50    12866.23
 1921   66      1854     5298.81     6195.74    11494.54
 1921   67      1854     5201.46     6040.79    11242.26
 1921   67      1853     4605.47     5286.27     9891.74
 1921   68      1853     4502.91     5137.60     9640.51
 1921   68      1852     4149.25     4653.57     8802.83
 1921   69      1852     4048.68     4511.00     8559.69
 1921   69      1851     3881.28     4308.80     8190.08
 1921   70      1851     3778.02     4162.32     7940.34
 1921   70      1850     3674.35     4016.90     7691.25
 1921   71      1850     3571.73     3880.12     7451.85
 1921   71      1849     3401.07     3643.22     7044.29
 1921   72      1849     3302.19     3511.19     6813.37
 1921   72      1848     3063.77     3229.39     6293.15
 1921   73      1848     2952.98     3085.66     6038.64
 1921   73      1847     2889.54     2873.16     5762.70
 1921   74      1847     2776.97     2733.54     5510.50
 1921   74      1846     2690.34     2600.33     5290.67
 1921   75      1846     2577.52     2460.59     5038.12
 1921   75      1845     2474.81     2423.93     4898.73
 1921   76      1845     2355.46     2282.62     4638.08
 1921   76      1844     2267.49     2242.89     4510.38
 1921   77      1844     2150.80     2107.93     4258.73
 1921   77      1843     2047.44     1915.53     3962.96
 1921   78      1843     1930.90     1782.55     3713.45
 1921   78      1842     1762.18     1680.45     3442.63
 1921   79      1842     1649.13     1553.87     3203.00
 1921   79      1841     1562.73     1482.03     3044.77
 1921   80      1841     1608.78     1466.19     3074.97
 1921   80      1840     1511.32     1442.47     2953.79
 1921   81      1840     1410.83     1325.71     2736.55
 1921   81      1839     1280.28     1219.56     2499.83
 1921   82      1839     1197.52     1121.22     2318.73
 1921   82      1838     1046.91      956.15     2003.07
 1921   83      1838      961.23      869.81     1831.04
 1921   83      1837      931.36      842.30     1773.67
 1921   84      1837      848.05      762.52     1610.58
 1921   84      1836      810.68      733.22     1543.90
 1921   85      1836      730.78      646.25     1377.03
 1921   85      1835      693.93      576.91     1270.84
 1921   86      1835      622.18      500.29     1122.47
 1921   86      1834      566.13      471.45     1037.57
 1921   87      1834      504.84      410.75      915.58
 1921   87      1833      438.27      404.55      842.82
