1967, 1967, 89, 3811.29166666667, 635, 0.166610182462201, 0.5, 0.15379802403851, 0.84620197596149, 16585.5358467064, 2550.82264084332, 15310.1245262847, 83622.5580687088, 5.04189667681523
1967, 1967, 90, 3037.21, 646, 0.212695203821929, 0.5, 0.192249889143833, 0.807750110856167, 14034.7132058631, 2698.17205799267, 12685.6271768667, 68312.4335424241, 4.86739077175345
1967, 1967, 91, 2681.42166666667, 386, 0.14395348736025, 0.5, 0.134287882837881, 0.865712117162119, 11336.5411478704, 1522.36010945204, 10575.3610931444, 55626.8063655574, 4.90685877111707
1967, 1967, 92, 2463.33666666667, 360, 0.146143239319027, 0.5, 0.136191505433158, 0.863808494566842, 9814.18103841835, 1336.60809021575, 9145.87699331048, 45051.445272413, 4.59044367492873
1967, 1967, 93, 1868.45666666667, 338, 0.180897960348737, 0.5, 0.16589309874893, 0.83410690125107, 8477.5729482026, 1406.37084624744, 7774.38752507888, 35905.5682791025, 4.23535940044198
1967, 1967, 94, 1309.955, 250, 0.209438600487507, 0.5, 0.18958535479673, 0.81041464520327, 7071.20210195517, 1340.59635933855, 6400.90392228589, 28131.1807540236, 3.97827418145006
1967, 1967, 95, 1007.005, 222, 0.222607268310732, 0.5, 0.200311833300106, 0.799688166699894, 5730.60574261661, 1147.90814222365, 5156.65167150479, 21730.2768317377, 3.79196856453357
1967, 1967, 96, 864.375, 209, 0.236263661934018, 0.5, 0.211302151848845, 0.788697848151155, 4582.69760039296, 968.333864235572, 4098.53066827518, 16573.6251602329, 3.61656530834846
1967, 1967, 97, 702.376666666667, 256, 0.250395710197704, 0.5, 0.222534827153315, 0.777465172846685, 3614.36373615739, 804.321809294996, 3212.20283150989, 12475.0944919578, 3.45153266317923
1967, 1967, 98, 439.511666666667, 106, 0.264989937794979, 0.5, 0.233987739524311, 0.766012260475689, 2810.04192686239, 657.515358435072, 2481.28424764486, 9262.89166044787, 3.29635354259306
1967, 1967, 99, 272.408333333333, 74.83, 0.2800316781424, 0.5, 0.245638410050994, 0.754361589949006, 2152.52656842732, 528.74320386101, 1888.15496649682, 6781.60741280301, 3.15053366228961
1967, 1967, 100, 201.013333333333, 57.27, 0.295505224263694, 0.5, 0.257464214099953, 0.742535785900047, 1623.78336456631, 418.066107826642, 1414.75031065299, 4893.4524463062, 3.01361163877496
1967, 1967, 101, 147.473333333333, 43.68, 0.311393892317533, 0.5, 0.269442515490349, 0.730557484509651, 1205.71725673967, 324.87149062606, 1043.28151142664, 3478.70213565321, 2.88517238698218
1967, 1967, 102, 116.286666666667, 35.32, 0.327679979080601, 0.5, 0.28155071317839, 0.71844928682161, 880.84576611361, 248.002753649452, 756.844389288884, 2435.42062422657, 2.76486612971067
1967, 1967, 103, 82.8283333333333, 25.66, 0.344344604600041, 0.5, 0.293766201371908, 0.706233798628092, 632.843012464158, 185.907887836351, 539.889068545983, 1678.57623493768, 2.65243702131064
1967, 1967, 104, 49.97, 15.95, 0.36136744355154, 0.5, 0.306066253719528, 0.693933746280472, 446.935124627807, 136.791759250503, 378.539245002556, 1138.6871663917, 2.54776835304668
1967, 1967, 105, 37.5733333333333, 11.91, 0.378726362299998, 0.5, 0.318427851393387, 0.681572148606613, 310.143365377304, 98.758285461009, 260.764222646799, 760.147921389143, 2.4509565776601
1967, 1967, 106, 28.16, 8.8, 0.396396991643155, 0.5, 0.330827482279015, 0.669172517720985, 211.385079916295, 69.9319937800561, 176.419083026267, 499.383698742344, 2.36243588686625
1967, 1967, 107, 16.455, 5.32, 0.414352276000343, 0.5, 0.343240943021593, 0.656759056978407, 141.453086136239, 48.5524906787171, 117.17684079688, 322.964615716077, 2.2831924317651
1967, 1967, 108, 10.5133333333333, 3.5, 0.432562046829577, 0.5, 0.355643176619767, 0.644356823380233, 92.9005954575215, 33.0394628783809, 76.3808640183311, 205.787774919197, 2.21513946068616
1967, 1967, 109, 6.45833333333333, 2, 0.45099267019005, 0.5, 0.368008175361112, 0.631991824638888, 59.8611325791406, 22.0293861754992, 48.846439491391, 129.406910900866, 2.16178520728423
1967, 1967, 110, 8.93, 1.75, 0.469606815125859, 2.12944098720542, 1, 0, 37.8317464036415, 37.8317464036415, 80.5604714094752, 80.5604714094752, 2.12944098720542
1968, 1968, 0, 145257.502324179, 2917, 0.0200815789430963, 0.108501900786881, 0.0197283877438318, 0.980271612256168, 1e+05, 1972.83877438318, 98241.2179825835, 7326403.9744384, 73.264039744384
1968, 1968, 1, 150177.995041193, 394, 0.00262355346994696, 0.5, 0.00262011646212902, 0.997379883537871, 98027.1612256168, 256.842578863014, 97898.7399361853, 7228162.75645582, 73.7363264026351
1968, 1968, 2, 152641.494219646, 167, 0.00109406685812242, 0.5, 0.00109346869419307, 0.998906531305807, 97770.3186467538, 106.908782661506, 97716.864255423, 7130264.01651963, 72.9287181959734
1968, 1968, 3, 159087.764393247, 116, 0.000729157270154738, 0.5, 0.000728891531874928, 0.999271108468125, 97663.4098640923, 71.1860324239672, 97627.8168478803, 7032547.15226421, 72.0080034278002
1968, 1968, 4, 173284.811891618, 91, 0.000525147005133471, 0.5, 0.000525009151641644, 0.999474990848358, 97592.2238316683, 51.2368106406857, 97566.605426348, 6934919.33541633, 71.0601630246484
