PopName,Year,YearInterval,Sex,Age,AgeInterval,qx,ex,SOURCE
KOR,1980,5,m,80,5,0.57575,5.1399999,UN
KOR,1985,5,m,0,1,0.01624,66.120003,UN
KOR,1985,5,m,80,5,0.54860,5.4000001,UN
KOR,1990,5,m,0,1,0.01089,68.599998,UN
KOR,1990,5,m,80,5,0.50303,5.8600001,UN
KOR,1995,5,m,0,1,0.00712,70.980003,UN
KOR,1995,5,m,80,5,0.47122,6.2399998,UN
KOR,2000,5,m,0,1,0.00529,73.580002,UN
KOR,2000,5,m,80,5,0.43876,6.5799999,UN
KOR,2003,,m,0,,0.00564,73.8,KOSIS
KOR,2003,,m,80,,0.08921,6.6,KOSIS
KOR,2004,,m,0,,0.00494,74.3,KOSIS
KOR,2004,,m,80,,0.08661,6.8,KOSIS
KOR,2005,5,m,0,1,0.00372,76.010002,UN
KOR,2005,,m,0,,0.00426,74.9,KOSIS
KOR,2005,,m,80,,0.08450,6.9,KOSIS
KOR,2005,5,m,80,5,0.39818,7.0999999,UN
KOR,2006,,m,0,,0.00414,75.4,KOSIS
KOR,2006,,m,80,,0.08228,6.9,KOSIS
KOR,2007,,m,0,,0.00373,75.9,KOSIS
KOR,2007,,m,80,,0.08045,7,KOSIS
KOR,2008,,m,0,,0.00347,76.2,KOSIS
KOR,2008,,m,80,,0.07924,7.1,KOSIS
KOR,2009,,m,0,,0.00327,76.7,KOSIS
KOR,2009,,m,80,,0.07418,7.4,KOSIS
KOR,2010,5,m,0,1,0.00322,77.870003,UN
KOR,2010,,m,0,,0.00369,76.8,KOSIS
KOR,2010,,m,80,,0.07376,7.4,KOSIS
KOR,2010,5,m,80,5,0.35935,7.6100001,UN
KOR,2011,,m,0,,0.00338,77.3,KOSIS
KOR,2011,,m,80,,0.07009,7.4,KOSIS
KOR,2012,,m,0,,0.00314,77.6,KOSIS
KOR,2012,,m,80,,0.07114,7.4,KOSIS
KOR,2013,,m,0,,0.00306,78.1,KOSIS
KOR,2013,,m,80,,0.06698,7.7,KOSIS
KOR,2014,,m,0,,0.00320,78.6,KOSIS
KOR,2014,,m,80,,0.06461,7.8,KOSIS
KOR,2015,,m,0,,0.00292,79,KOSIS
KOR,2015,5,m,0,1,0.00228,79.629997,UN
KOR,2015,5,m,80,5,0.32574,8.1099997,UN
KOR,2015,,m,80,,0.06321,8,KOSIS
KOR,2016,,m,0,,0.00305,79.3,KOSIS
KOR,2016,,m,80,,0.06145,8.1,KOSIS
KOR,2017,,m,0,,0.00302,79.7,KOSIS
KOR,2017,,m,80,,0.05893,8.1,KOSIS
KOR,2018,,m,0,,0.00313,79.7,KOSIS
KOR,2018,,m,80,,0.05832,8.1,KOSIS
KOR,2019,,m,0,,0.00295,80.3,KOSIS
KOR,2019,,m,80,,0.05421,8.4,KOSIS
KOR,2020,,m,0,,0.00272,80.5,KOSIS
KOR,2020,,m,80,,0.05283,8.4,KOSIS
