The United States of America, Exposure to risk (cohort 5x5), 	Last modified: 15 Mar 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1880-1884     45-49                   .               .               .
1880-1884     50-54         11791807.76     12736748.58     24528556.34
1880-1884     55-59         14164454.11     15001110.91     29165565.03
1880-1884     60-64         13376012.35     13537626.25     26913638.60
1880-1884     65-69         12782597.33     12053545.57     24836142.89
1880-1884     70-74         10746347.91      9456762.32     20203110.23
1880-1884     75-79          8305324.66      6659025.63     14964350.29
1880-1884     80-84          5816509.36      3856504.55      9673013.90
1880-1884     85-89          3205506.91      1749066.22      4954573.13
1880-1884     90-94          1339584.74       583498.93      1923083.67
1880-1884     95-99           398752.66       134210.07       532962.73
1880-1884    100-104           77164.41        19896.34        97060.75
1880-1884    105-109            8748.05         2096.60        10844.65
1880-1884    110+                803.51          197.93         1001.44
1885-1889        0                    .               .               .
1885-1889      1-4                    .               .               .
1885-1889      5-9                    .               .               .
1885-1889     10-14                   .               .               .
1885-1889     15-19                   .               .               .
1885-1889     20-24                   .               .               .
1885-1889     25-29                   .               .               .
1885-1889     30-34                   .               .               .
1885-1889     35-39                   .               .               .
1885-1889     40-44                   .               .               .
1885-1889     45-49         14008492.45     15054829.32     29063321.77
1885-1889     50-54         17328682.16     18541406.62     35870088.78
1885-1889     55-59         15981450.96     16543091.65     32524542.62
1885-1889     60-64         15082254.29     15072779.56     30155033.85
1885-1889     65-69         14588593.42     13449324.58     28037918.00
1885-1889     70-74         12679848.18     10805945.35     23485793.52
1885-1889     75-79          9857255.43      7415872.37     17273127.80
1885-1889     80-84          7028482.03      4324977.71     11353459.74
1885-1889     85-89          4073795.99      2030881.90      6104677.89
1885-1889     90-94          1852956.35       722550.91      2575507.26
1885-1889     95-99           581119.45       171436.26       752555.71
1885-1889    100-104          107663.74        23809.64       131473.38
1885-1889    105-109           11486.49         2037.58        13524.07
1885-1889    110+                796.72          104.71          901.43
1890-1894        0                    .               .               .
1890-1894      1-4                    .               .               .
1890-1894      5-9                    .               .               .
1890-1894     10-14                   .               .               .
1890-1894     15-19                   .               .               .
1890-1894     20-24                   .               .               .
1890-1894     25-29                   .               .               .
1890-1894     30-34                   .               .               .
1890-1894     35-39                   .               .               .
1890-1894     40-44         16228043.40     16850178.83     33078222.24
1890-1894     45-49         20288272.97     21139939.43     41428212.39
1890-1894     50-54         19100611.91     19736969.74     38837581.65
1890-1894     55-59         18037665.16     18099963.00     36137628.16
1890-1894     60-64         17231702.28     16444261.50     33675963.78
1890-1894     65-69         16504527.91     14492761.03     30997288.95
1890-1894     70-74         14739332.55     11685606.98     26424939.53
1890-1894     75-79         11525943.50      7964689.15     19490632.65
1890-1894     80-84          8376528.94      4720148.65     13096677.60
1890-1894     85-89          5153785.66      2326117.06      7479902.73
1890-1894     90-94          2454077.35       854321.37      3308398.72
1890-1894     95-99           770744.23       199519.76       970263.99
1890-1894    100-104          141462.55        26293.99       167756.55
1890-1894    105-109           12097.33         1861.49        13958.82
1890-1894    110+                500.11           73.07          573.18
1895-1899        0                    .               .               .
1895-1899      1-4                    .               .               .
1895-1899      5-9                    .               .               .
1895-1899     10-14                   .               .               .
1895-1899     15-19                   .               .               .
1895-1899     20-24                   .               .               .
1895-1899     25-29                   .               .               .
1895-1899     30-34                   .               .               .
1895-1899     35-39         16959596.34     17085138.30     34044734.64
1895-1899     40-44         21867029.24     22136761.38     44003790.63
1895-1899     45-49         21667797.32     21836633.46     43504430.78
1895-1899     50-54         20575823.65     20587165.63     41162989.28
1895-1899     55-59         19542325.02     19030751.71     38573076.73
1895-1899     60-64         18550802.08     16984284.30     35535086.38
1895-1899     65-69         17774939.02     14811008.26     32585947.29
1895-1899     70-74         15607615.23     11598270.69     27205885.92
1895-1899     75-79         12807461.81      8221770.22     21029232.03
1895-1899     80-84          9397206.60      4972913.95     14370120.55
1895-1899     85-89          5942964.89      2503660.64      8446625.53
1895-1899     90-94          2863312.46       921725.47      3785037.93
1895-1899     95-99           916437.19       215729.19      1132166.38
1895-1899    100-104          155576.42        26046.94       181623.37
1895-1899    105-109           11464.40         1485.89        12950.30
1895-1899    110+                465.26           95.12          560.38
1900-1904        0                    .               .               .
1900-1904      1-4                    .               .               .
1900-1904      5-9                    .               .               .
1900-1904     10-14                   .               .               .
1900-1904     15-19                   .               .               .
1900-1904     20-24                   .               .               .
1900-1904     25-29                   .               .               .
1900-1904     30-34         18547525.66     18256163.94     36803689.60
1900-1904     35-39         23975233.13     23594668.78     47569901.91
1900-1904     40-44         23535774.31     23222267.66     46758041.97
1900-1904     45-49         22827730.07     22736556.51     45564286.57
1900-1904     50-54         21776796.62     21476428.42     43253225.04
1900-1904     55-59         21291682.87     20389821.69     41681504.56
1900-1904     60-64         19777458.68     17780310.73     37557769.41
1900-1904     65-69         19142697.11     15533193.32     34675890.43
1900-1904     70-74         16725055.23     12194396.26     28919451.49
1900-1904     75-79         14548538.60      9095319.29     23643857.88
1900-1904     80-84         10927306.89      5646325.99     16573632.88
1900-1904     85-89          7046970.46      2898438.04      9945408.50
1900-1904     90-94          3478215.72      1092887.42      4571103.14
1900-1904     95-99          1064922.45       246509.46      1311431.91
1900-1904    100-104          165722.95        27836.34       193559.29
1900-1904    105-109           12432.50         1579.47        14011.97
1900-1904    110+                582.15          134.15          716.31
1905-1909        0                    .               .               .
1905-1909      1-4                    .               .               .
1905-1909      5-9                    .               .               .
1905-1909     10-14                   .               .               .
1905-1909     15-19                   .               .               .
1905-1909     20-24                   .               .               .
1905-1909     25-29         20262906.57     19715091.39     39977997.95
1905-1909     30-34         25830498.87     25075079.44     50905578.32
1905-1909     35-39         25924887.04     24249534.10     50174421.15
1905-1909     40-44         25650908.54     25211604.38     50862512.92
1905-1909     45-49         25319527.64     24770040.75     50089568.39
1905-1909     50-54         24341888.75     23593765.56     47935654.31
1905-1909     55-59         24311845.64     22692782.80     47004628.43
1905-1909     60-64         22919801.92     20097670.70     43017472.62
1905-1909     65-69         22277502.50     17693520.05     39971022.56
1905-1909     70-74         19350832.69     13967721.55     33318554.24
1905-1909     75-79         16674572.86     10462710.60     27137283.45
1905-1909     80-84         12466881.03      6521458.09     18988339.12
1905-1909     85-89          8164369.96      3419216.33     11583586.29
1905-1909     90-94          3945439.67      1269904.94      5215344.61
1905-1909     95-99          1161614.46       276682.80      1438297.26
1905-1909    100-104          188800.07        31728.20       220528.27
1905-1909    105-109           15392.06         1756.76        17148.82
1905-1909    110+                527.34           90.65          617.99
1910-1914        0                    .               .               .
1910-1914      1-4                    .               .               .
1910-1914      5-9                    .               .               .
1910-1914     10-14                   .               .               .
1910-1914     15-19                   .               .               .
1910-1914     20-24         21711340.35     21211123.15     42922463.50
1910-1914     25-29         28206583.75     26967380.93     55173964.67
1910-1914     30-34         27646607.88     24840107.52     52486715.39
1910-1914     35-39         28356086.32     27197759.65     55553845.97
1910-1914     40-44         27717344.64     26892837.63     54610182.27
1910-1914     45-49         27391633.54     26526965.39     53918598.93
1910-1914     50-54         26584078.83     25335298.25     51919377.08
1910-1914     55-59         26065094.16     23896303.33     49961397.49
1910-1914     60-64         25117875.62     21833101.23     46950976.85
1910-1914     65-69         24384471.23     19417897.01     43802368.24
1910-1914     70-74         21600995.02     15661480.97     37262475.98
1910-1914     75-79         18588282.88     11975543.40     30563826.28
1910-1914     80-84         13978344.38      7615036.79     21593381.17
1910-1914     85-89          9092371.82      4040303.29     13132675.11
1910-1914     90-94          4355786.43      1521931.63      5877718.06
1910-1914     95-99          1349881.80       352734.49      1702616.29
1910-1914    100-104          231455.18        42889.25       274344.43
1910-1914    105-109           16702.16         2257.59        18959.75
1910-1914    110+                     .               .               .
1915-1919        0                    .               .               .
1915-1919      1-4                    .               .               .
1915-1919      5-9                    .               .               .
1915-1919     10-14                   .               .               .
1915-1919     15-19         22482439.46     22291468.21     44773907.67
1915-1919     20-24         29353480.75     27889012.21     57242492.95
1915-1919     25-29         29535193.20     25069404.71     54604597.91
1915-1919     30-34         29330308.87     27824498.44     57154807.31
1915-1919     35-39         29807719.74     28515745.35     58323465.09
1915-1919     40-44         29493604.71     28273758.14     57767362.85
1915-1919     45-49         28981188.34     27567039.36     56548227.69
1915-1919     50-54         28646187.79     26677974.96     55324162.74
1915-1919     55-59         27702221.28     24986639.26     52688860.54
1915-1919     60-64         26573087.34     23003125.17     49576212.51
1915-1919     65-69         25672253.23     20744738.43     46416991.66
1915-1919     70-74         22866162.98     16972267.34     39838430.31
1915-1919     75-79         19800823.89     13313366.21     33114190.10
1915-1919     80-84         14759835.21      8575613.32     23335448.53
1915-1919     85-89          9652133.00      4732024.49     14384157.49
1915-1919     90-94          4825617.34      1920495.90      6746113.24
1915-1919     95-99          1560433.92       472502.64      2032936.56
1915-1919    100-104          235370.98        51021.18       286392.16
1915-1919    105-109                  .               .               .
1915-1919    110+                     .               .               .
1920-1924        0                    .               .               .
1920-1924      1-4                    .               .               .
1920-1924      5-9                    .               .               .
1920-1924     10-14         23419876.13     23765936.41     47185812.54
1920-1924     15-19         30679932.02     30158643.99     60838576.01
1920-1924     20-24         30158341.34     24468269.41     54626610.75
1920-1924     25-29         31120426.52     29450210.72     60570637.24
1920-1924     30-34         31478895.94     29889499.12     61368395.06
1920-1924     35-39         31969179.88     30365673.71     62334853.59
1920-1924     40-44         31769607.48     30038989.96     61808597.44
1920-1924     45-49         31283108.37     29217260.15     60500368.52
1920-1924     50-54         31204079.69     28742196.12     59946275.81
1920-1924     55-59         30471099.74     27305137.21     57776236.95
1920-1924     60-64         29153786.01     25237782.75     54391568.76
1920-1924     65-69         27571755.72     22464959.55     50036715.26
1920-1924     70-74         25062910.63     19192126.33     44255036.96
1920-1924     75-79         21825191.64     15238980.07     37064171.71
1920-1924     80-84         16580919.43     10221542.59     26802462.02
1920-1924     85-89         11203444.40      5993371.28     17196815.68
1920-1924     90-94          5782732.56      2572168.95      8354901.51
1920-1924     95-99          1600513.55       561712.12      2162225.67
1920-1924    100-104                  .               .               .
1920-1924    105-109                  .               .               .
1920-1924    110+                     .               .               .
1925-1929        0                    .               .               .
1925-1929      1-4                    .               .               .
1925-1929      5-9          21961297.86     22809530.86     44770828.73
1925-1929     10-14         29271717.18     30136426.55     59408143.73
